agent_type,field,accuracy_rate,avg_proximity_score,avg_percentage_error
intent,avg_revenue_per_trip,0.4286,0.5118,24.4138
intent,best_revenue_hour,0.8571,0.9832,0.8403
intent,best_revenue_zone,0.8571,0.8571,
intent,optimal_distance_bracket,0.7143,0.7143,
intent,trips_above_max_distance,1.0,1.0,0.0
intent,trips_below_min_fare,0.8571,0.8571,7.8967
simple-raw,avg_revenue_per_trip,0.1667,0.4032,29.8395
simple-raw,best_revenue_hour,0.8333,0.9804,0.9804
simple-raw,best_revenue_zone,1.0,1.0,
simple-raw,optimal_distance_bracket,0.6667,0.6667,
simple-raw,trips_above_max_distance,0.8333,0.8333,15.451
simple-raw,trips_below_min_fare,0.8333,0.8333,15.5314
simple-summarization,avg_revenue_per_trip,0.25,0.3818,30.9303
simple-summarization,best_revenue_hour,1.0,1.0,0.0
simple-summarization,best_revenue_zone,1.0,1.0,
simple-summarization,optimal_distance_bracket,0.25,0.25,
simple-summarization,trips_above_max_distance,0.75,0.75,23.1765
simple-summarization,trips_below_min_fare,0.75,0.75,23.2971
