hour,avg_trips_per_day,avg_fare,revenue_per_hour
0,4103.415,26.578308083607023,30210127.569999587
1,2703.982,24.777130759155245,18558145.269999556
2,1786.1481,23.42036597320321,11587530.52999994
3,1217.3141,23.869915449768005,8048840.009999972
4,944.8231,28.21497482003379,7384310.349999964
5,1007.3971,31.214209081558753,8710293.829999888
6,1984.2816,27.499168191890092,15114807.79999962
7,3630.3792,25.87938527169907,26024698.01999966
8,4957.888,25.177537010270274,34577192.78999953
9,5276.917,25.22996580023589,36878792.389999606
10,5478.6714,25.603437709212827,38855572.23999971
11,5870.8086,25.874227893745804,42077031.63999994
12,6440.7905,26.747230972048225,47719708.03000027
13,6765.8916,26.753204718721367,50139572.13000109
14,7266.9243,27.8989623078317,56158881.390002124
15,7536.9023,27.65686542078028,57739846.39000225
16,7765.2817,29.290880402124525,63004185.800003015
17,8780.177,27.724945855635067,67430090.34000275
18,9293.964,26.18172797996337,67402973.60000114
19,8158.8374,26.19157237749807,59192901.190000884
20,7516.0757,25.76184269769865,53634945.6900018
21,7734.852,25.794094893291906,55265241.19000214
22,7302.491,26.208174664696564,53013633.63000156
23,5744.5703,26.927178431242226,42847764.97000047
